oa_funder_id,oa_funder_name
https://openalex.org/F4320335199,Korea Institute of Energy Technology Evaluation and Planning
https://openalex.org/F4320321604,Hubei University of Technology
https://openalex.org/F4320326691,Hebei University of Technology
https://openalex.org/F4320321041,Academia Sinica
https://openalex.org/F4320322845,National Health Research Institutes
https://openalex.org/F4320322182,Huaqiao University
https://openalex.org/F4320332235,Arizona Research Institute for Solar Energy
https://openalex.org/F4320336751,Science Foundation of Ministry of Education of China
https://openalex.org/F4320336172,"Ningbo Institute of Materials Technology and Engineering, Chinese Academy of Sciences"
https://openalex.org/F4320322867,Hong Kong Institute of Education
https://openalex.org/F4320335953,Jilin Scientific and Technological Development Program
https://openalex.org/F4320335855,Project of High-level Teachers in Beijing Municipal Universities in the Period of 13th Five-year Plan
https://openalex.org/F4320311028,Natural Science Foundation of Xinjiang Province
https://openalex.org/F4320327742,Széchenyi István Egyetem
https://openalex.org/F4320337145,"Hospitality and Tourism Research Centre, Hong Kong Polytechnic University"
https://openalex.org/F4320335789,National Key Clinical Specialty Discipline Construction Program of China
https://openalex.org/F4320313620,Hubei Provincial Department of Education
https://openalex.org/F4320318785,State Key Laboratory of Crystal Materials
https://openalex.org/F4320324310,Wuyi University
https://openalex.org/F4320324039,Politecnico di Milano
https://openalex.org/F4320326546,Fujian Normal University
https://openalex.org/F4320336549,Qianjiang Talents Fund of Zhejiang Province
https://openalex.org/F4320328637,Anhui Polytechnic University
